지점번호,년월일,시간,유입유출 구분,차로번호,교통량
DEMO-N,20250514,19,유출,1,167
DEMO-N,20250514,19,유출,2,167
DEMO-N,20250514,19,유출,3,167
DEMO-N,20250514,20,유입,1,155
DEMO-N,20250514,20,유입,2,154
DEMO-N,20250514,20,유입,3,154
DEMO-N,20250514,20,유출,1,132
DEMO-N,20250514,20,유출,2,131
DEMO-N,20250514,20,유출,3,131
DEMO-N,20250514,21,유입,1,127
DEMO-N,20250514,21,유입,2,126
DEMO-N,20250514,21,유입,3,126
DEMO-N,20250514,21,유출,1,108
DEMO-N,20250514,21,유출,2,107
DEMO-N,20250514,21,유출,3,107
DEMO-N,20250514,22,유입,1,85
DEMO-N,20250514,22,유입,2,84
DEMO-N,20250514,22,유입,3,84
DEMO-N,20250514,22,유출,1,72
DEMO-N,20250514,22,유출,2,72
DEMO-N,20250514,22,유출,3,71
DEMO-N,20250514,23,유입,1,51
DEMO-N,20250514,23,유입,2,51
DEMO-N,20250514,23,유입,3,50
DEMO-N,20250514,23,유출,1,43
DEMO-N,20250514,23,유출,2,43
DEMO-N,20250514,23,유출,3,43
DEMO-S,20250514,00,유입,1,27
DEMO-S,20250514,00,유입,2,26
DEMO-S,20250514,00,유입,3,26
DEMO-S,20250514,00,유출,1,23
DEMO-S,20250514,00,유출,2,22
DEMO-S,20250514,00,유출,3,22
DEMO-S,20250514,01,유입,1,16
DEMO-S,20250514,01,유입,2,16
DEMO-S,20250514,01,유입,3,15
DEMO-S,20250514,01,유출,1,14
DEMO-S,20250514,01,유출,2,13
DEMO-S,20250514,01,유출,3,13
DEMO-S,20250514,02,유입,1,11
DEMO-S,20250514,02,유입,2,11
DEMO-S,20250514,02,유입,3,10
DEMO-S,20250514,02,유출,1,9
DEMO-S,20250514,02,유출,2,9
DEMO-S,20250514,02,유출,3,9
DEMO-S,20250514,03,유입,1,8
DEMO-S,20250514,03,유입,2,8
DEMO-S,20250514,03,유입,3,8
DEMO-S,20250514,03,유출,1,7
DEMO-S,20250514,03,유출,2,7
DEMO-S,20250514,03,유출,3,6
DEMO-S,20250514,04,유입,1,11
DEMO-S,20250514,04,유입,2,11
DEMO-S,20250514,04,유입,3,10
DEMO-S,20250514,04,유출,1,9
DEMO-S,20250514,04,유출,2,9
DEMO-S,20250514,04,유출,3,9
DEMO-S,20250514,05,유입,1,27
DEMO-S,20250514,05,유입,2,26
DEMO-S,20250514,05,유입,3,26
DEMO-S,20250514,05,유출,1,23
DEMO-S,20250514,05,유출,2,22
DEMO-S,20250514,05,유출,3,22
DEMO-S,20250514,06,유입,1,79
DEMO-S,20250514,06,유입,2,79
DEMO-S,20250514,06,유입,3,79
DEMO-S,20250514,06,유출,1,67
DEMO-S,20250514,06,유출,2,67
DEMO-S,20250514,06,유출,3,67
DEMO-S,20250514,07,유입,1,198
DEMO-S,20250514,07,유입,2,197
DEMO-S,20250514,07,유입,3,197
DEMO-S,20250514,07,유출,1,168
DEMO-S,20250514,07,유출,2,168
DEMO-S,20250514,07,유출,3,167
DEMO-S,20250514,08,유입,1,264
DEMO-S,20250514,08,유입,2,263
DEMO-S,20250514,08,유입,3,263
DEMO-S,20250514,08,유출,1,224
DEMO-S,20250514,08,유출,2,224
DEMO-S,20250514,08,유출,3,224
DEMO-S,20250514,09,유입,1,211
DEMO-S,20250514,09,유입,2,211
DEMO-S,20250514,09,유입,3,210
DEMO-S,20250514,09,유출,1,179
DEMO-S,20250514,09,유출,2,179
DEMO-S,20250514,09,유출,3,179
DEMO-S,20250514,10,유입,1,172
DEMO-S,20250514,10,유입,2,171
DEMO-S,20250514,10,유입,3,171
DEMO-S,20250514,10,유출,1,146
DEMO-S,20250514,10,유출,2,146
DEMO-S,20250514,10,유출,3,145
DEMO-S,20250514,11,유입,1,172
DEMO-S,20250514,11,유입,2,171
DEMO-S,20250514,11,유입,3,171
DEMO-S,20250514,11,유출,1,146
DEMO-S,20250514,11,유출,2,146
DEMO-S,20250514,11,유출,3,145
DEMO-S,20250514,12,유입,1,185
DEMO-S,20250514,12,유입,2,184
DEMO-S,20250514,12,유입,3,184
DEMO-S,20250514,12,유출,1,157
DEMO-S,20250514,12,유출,2,157
DEMO-S,20250514,12,유출,3,156
DEMO-S,20250514,13,유입,1,179
DEMO-S,20250514,13,유입,2,179
DEMO-S,20250514,13,유입,3,179
DEMO-S,20250514,13,유출,1,152
DEMO-S,20250514,13,유출,2,152
DEMO-S,20250514,13,유출,3,152
DEMO-S,20250514,14,유입,1,174
DEMO-S,20250514,14,유입,2,174
DEMO-S,20250514,14,유입,3,173
DEMO-S,20250514,14,유출,1,148
DEMO-S,20250514,14,유출,2,148
DEMO-S,20250514,14,유출,3,147
DEMO-S,20250514,15,유입,1,185
DEMO-S,20250514,15,유입,2,184
DEMO-S,20250514,15,유입,3,184
DEMO-S,20250514,15,유출,1,157
DEMO-S,20250514,15,유출,2,157
DEMO-S,20250514,15,유출,3,156
DEMO-S,20250514,16,유입,1,211
DEMO-S,20250514,16,유입,2,211
DEMO-S,20250514,16,유입,3,210
DEMO-S,20250514,16,유출,1,179
DEMO-S,20250514,16,유출,2,179
DEMO-S,20250514,16,유출,3,179
DEMO-S,20250514,17,유입,1,250
DEMO-S,20250514,17,유입,2,250
DEMO-S,20250514,17,유입,3,250
DEMO-S,20250514,17,유출,1,213
DEMO-S,20250514,17,유출,2,213
DEMO-S,20250514,17,유출,3,212
DEMO-S,20250514,18,유입,1,237
DEMO-S,20250514,18,유입,2,237
DEMO-S,20250514,18,유입,3,237
DEMO-S,20250514,18,유출,1,202
DEMO-S,20250514,18,유출,2,201
DEMO-S,20250514,18,유출,3,201
DEMO-S,20250514,19,유입,1,185
DEMO-S,20250514,19,유입,2,184
DEMO-S,20250514,19,유입,3,184
DEMO-S,20250514,19,유출,1,157
DEMO-S,20250514,19,유출,2,157
DEMO-S,20250514,19,유출,3,156
DEMO-S,20250514,20,유입,1,145
DEMO-S,20250514,20,유입,2,145
DEMO-S,20250514,20,유입,3,145
DEMO-S,20250514,20,유출,1,124
DEMO-S,20250514,20,유출,2,123
DEMO-S,20250514,20,유출,3,123
DEMO-S,20250514,21,유입,1,119
DEMO-S,20250514,21,유입,2,119
DEMO-S,20250514,21,유입,3,118
DEMO-S,20250514,21,유출,1,101
DEMO-S,20250514,21,유출,2,101
DEMO-S,20250514,21,유출,3,101
DEMO-S,20250514,22,유입,1,79
DEMO-S,20250514,22,유입,2,79
DEMO-S,20250514,22,유입,3,79
DEMO-S,20250514,22,유출,1,67
DEMO-S,20250514,22,유출,2,67
DEMO-S,20250514,22,유출,3,67
DEMO-S,20250514,23,유입,1,48
DEMO-S,20250514,23,유입,2,47
DEMO-S,20250514,23,유입,3,47
DEMO-S,20250514,23,유출,1,41
DEMO-S,20250514,23,유출,2,40
DEMO-S,20250514,23,유출,3,40
DEMO-E,20250514,00,유입,1,31
DEMO-E,20250514,00,유입,2,30
DEMO-E,20250514,00,유출,1,26
DEMO-E,20250514,00,유출,2,26
DEMO-E,20250514,01,유입,1,19
DEMO-E,20250514,01,유입,2,18
DEMO-E,20250514,01,유출,1,16
DEMO-E,20250514,01,유출,2,15
DEMO-E,20250514,02,유입,1,12
DEMO-E,20250514,02,유입,2,12
DEMO-E,20250514,02,유출,1,10
DEMO-E,20250514,02,유출,2,10
DEMO-E,20250514,03,유입,1,9
DEMO-E,20250514,03,유입,2,9
DEMO-E,20250514,03,유출,1,8
DEMO-E,20250514,03,유출,2,7
DEMO-E,20250514,04,유입,1,12
DEMO-E,20250514,04,유입,2,12
DEMO-E,20250514,04,유출,1,10
DEMO-E,20250514,04,유출,2,10
DEMO-E,20250514,05,유입,1,31
DEMO-E,20250514,05,유입,2,30
DEMO-E,20250514,05,유출,1,26
DEMO-E,20250514,05,유출,2,26
DEMO-E,20250514,06,유입,1,92
DEMO-E,20250514,06,유입,2,91
DEMO-E,20250514,06,유출,1,78
DEMO-E,20250514,06,유출,2,78
DEMO-E,20250514,07,유입,1,229
DEMO-E,20250514,07,유입,2,229
DEMO-E,20250514,07,유출,1,195
DEMO-E,20250514,07,유출,2,194
DEMO-E,20250514,08,유입,1,305
DEMO-E,20250514,08,유입,2,305
DEMO-E,20250514,08,유출,1,259
DEMO-E,20250514,08,유출,2,259
DEMO-E,20250514,09,유입,1,244
DEMO-E,20250514,09,유입,2,244
DEMO-E,20250514,09,유출,1,208
DEMO-E,20250514,09,유출,2,207
DEMO-E,20250514,10,유입,1,198
DEMO-E,20250514,10,유입,2,198
DEMO-E,20250514,10,유출,1,169
DEMO-E,20250514,10,유출,2,168
DEMO-E,20250514,11,유입,1,198
DEMO-E,20250514,11,유입,2,198
DEMO-E,20250514,11,유출,1,169
DEMO-E,20250514,11,유출,2,168
DEMO-E,20250514,12,유입,1,214
DEMO-E,20250514,12,유입,2,213
DEMO-E,20250514,12,유출,1,182
DEMO-E,20250514,12,유출,2,181
DEMO-E,20250514,13,유입,1,208
DEMO-E,20250514,13,유입,2,207
DEMO-E,20250514,13,유출,1,177
DEMO-E,20250514,13,유출,2,176
DEMO-E,20250514,14,유입,1,202
DEMO-E,20250514,14,유입,2,201
DEMO-E,20250514,14,유출,1,172
DEMO-E,20250514,14,유출,2,171
DEMO-E,20250514,15,유입,1,214
DEMO-E,20250514,15,유입,2,213
DEMO-E,20250514,15,유출,1,182
DEMO-E,20250514,15,유출,2,181
DEMO-E,20250514,16,유입,1,244
DEMO-E,20250514,16,유입,2,244
DEMO-E,20250514,16,유출,1,208
DEMO-E,20250514,16,유출,2,207
DEMO-E,20250514,17,유입,1,290
DEMO-E,20250514,17,유입,2,290
DEMO-E,20250514,17,유출,1,247
DEMO-E,20250514,17,유출,2,246
DEMO-E,20250514,18,유입,1,275
DEMO-E,20250514,18,유입,2,274
DEMO-E,20250514,18,유출,1,234
DEMO-E,20250514,18,유출,2,233
DEMO-E,20250514,19,유입,1,214
DEMO-E,20250514,19,유입,2,213
DEMO-E,20250514,19,유출,1,182
DEMO-E,20250514,19,유출,2,181
DEMO-E,20250514,20,유입,1,168
DEMO-E,20250514,20,유입,2,168
DEMO-E,20250514,20,유출,1,143
DEMO-E,20250514,20,유출,2,143
DEMO-E,20250514,21,유입,1,137
DEMO-E,20250514,21,유입,2,137
DEMO-E,20250514,21,유출,1,117
DEMO-E,20250514,21,유출,2,116
DEMO-E,20250514,22,유입,1,92
DEMO-E,20250514,22,유입,2,91
DEMO-E,20250514,22,유출,1,78
DEMO-E,20250514,22,유출,2,78
DEMO-E,20250514,23,유입,1,55
DEMO-E,20250514,23,유입,2,55
DEMO-E,20250514,23,유출,1,47
DEMO-E,20250514,23,유출,2,47
DEMO-W,20250514,00,유입,1,33
DEMO-W,20250514,00,유입,2,33
DEMO-W,20250514,00,유출,1,28
DEMO-W,20250514,00,유출,2,28
DEMO-W,20250514,01,유입,1,20
DEMO-W,20250514,01,유입,2,19
DEMO-W,20250514,01,유출,1,17
DEMO-W,20250514,01,유출,2,16
DEMO-W,20250514,02,유입,1,13
DEMO-W,20250514,02,유입,2,13
DEMO-W,20250514,02,유출,1,11
DEMO-W,20250514,02,유출,2,11
DEMO-W,20250514,03,유입,1,10
DEMO-W,20250514,03,유입,2,10
DEMO-W,20250514,03,유출,1,9
DEMO-W,20250514,03,유출,2,8
DEMO-W,20250514,04,유입,1,13
DEMO-W,20250514,04,유입,2,13
DEMO-W,20250514,04,유출,1,11
DEMO-W,20250514,04,유출,2,11
DEMO-W,20250514,05,유입,1,33
DEMO-W,20250514,05,유입,2,33
DEMO-W,20250514,05,유출,1,28
DEMO-W,20250514,05,유출,2,28
DEMO-W,20250514,06,유입,1,98
DEMO-W,20250514,06,유입,2,98
DEMO-W,20250514,06,유출,1,84
DEMO-W,20250514,06,유출,2,83
DEMO-W,20250514,07,유입,1,246
DEMO-W,20250514,07,유입,2,245
DEMO-W,20250514,07,유출,1,209
DEMO-W,20250514,07,유출,2,208
DEMO-W,20250514,08,유입,1,328
DEMO-W,20250514,08,유입,2,327
DEMO-W,20250514,08,유출,1,279
DEMO-W,20250514,08,유출,2,278
DEMO-W,20250514,09,유입,1,262
DEMO-W,20250514,09,유입,2,262
DEMO-W,20250514,09,유출,1,223
DEMO-W,20250514,09,유출,2,222
DEMO-W,20250514,10,유입,1,213
DEMO-W,20250514,10,유입,2,213
DEMO-W,20250514,10,유출,1,181
DEMO-W,20250514,10,유출,2,181
DEMO-W,20250514,11,유입,1,213
DEMO-W,20250514,11,유입,2,213
DEMO-W,20250514,11,유출,1,181
DEMO-W,20250514,11,유출,2,181
DEMO-W,20250514,12,유입,1,229
DEMO-W,20250514,12,유입,2,229
DEMO-W,20250514,12,유출,1,195
DEMO-W,20250514,12,유출,2,194
DEMO-W,20250514,13,유입,1,223
DEMO-W,20250514,13,유입,2,222
DEMO-W,20250514,13,유출,1,189
DEMO-W,20250514,13,유출,2,189
DEMO-W,20250514,14,유입,1,216
DEMO-W,20250514,14,유입,2,216
DEMO-W,20250514,14,유출,1,184
DEMO-W,20250514,14,유출,2,183
DEMO-W,20250514,15,유입,1,229
DEMO-W,20250514,15,유입,2,229
DEMO-W,20250514,15,유출,1,195
DEMO-W,20250514,15,유출,2,194
DEMO-W,20250514,16,유입,1,262
DEMO-W,20250514,16,유입,2,262
DEMO-W,20250514,16,유출,1,223
DEMO-W,20250514,16,유출,2,222
DEMO-W,20250514,17,유입,1,311
DEMO-W,20250514,17,유입,2,311
DEMO-W,20250514,17,유출,1,265
DEMO-W,20250514,17,유출,2,264
DEMO-W,20250514,18,유입,1,295
DEMO-W,20250514,18,유입,2,295
DEMO-W,20250514,18,유출,1,251
DEMO-W,20250514,18,유출,2,251
DEMO-W,20250514,19,유입,1,229
DEMO-W,20250514,19,유입,2,229
DEMO-W,20250514,19,유출,1,195
DEMO-W,20250514,19,유출,2,194
DEMO-W,20250514,20,유입,1,180
DEMO-W,20250514,20,유입,2,180
DEMO-W,20250514,20,유출,1,153
DEMO-W,20250514,20,유출,2,153
DEMO-W,20250514,21,유입,1,148
DEMO-W,20250514,21,유입,2,147
DEMO-W,20250514,21,유출,1,126
DEMO-W,20250514,21,유출,2,125
DEMO-W,20250514,22,유입,1,98
DEMO-W,20250514,22,유입,2,98
DEMO-W,20250514,22,유출,1,84
DEMO-W,20250514,22,유출,2,83
DEMO-W,20250514,23,유입,1,59
DEMO-W,20250514,23,유입,2,59
DEMO-W,20250514,23,유출,1,50
DEMO-W,20250514,23,유출,2,50
